Time[s],UWB_Simple::Anchor1UwbTx::Index_1,UWB_Simple::Anchor1UwbTx::Dis_1,UWB_Simple::Anchor2UwbTx::Index_2,UWB_Simple::Anchor2UwbTx::Dis_2,UWB_Simple::Anchor3UwbTx::Index_3,UWB_Simple::Anchor3UwbTx::Dis_3,UWB_Simple::Anchor4UwbTx::Index_4,UWB_Simple::Anchor4UwbTx::Dis_4,UWB_Simple::Anchor5UwbTx::Index_5,UWB_Simple::Anchor5UwbTx::Dis_5,UWB_Simple::CarSts::Carsts_Y,UWB_Simple::CarSts::Carsts_X,UWB_Simple::CarSts::Carsts_TestSts,UWB_Simple::CarSts::Carsts_RobotTaskID,UWB_Simple::CarSts::Carsts_RobotInMotion,UWB_Simple::CarSts::Carsts_Robot_Z,UWB_Simple::CarSts::Carsts_Robot_Y,UWB_Simple::CarSts::Carsts_Robot_X,UWB_Simple::CarSts::Carsts_RealTi,UWB_Simple::CarSts::CarSts_CarTaskID,UWB_Simple::CarSts::Carsts_CarInMotion,UWB_Simple::CarSts::Carsts_Angle
4.191627,63336,501,,,,,,,,,,,,,,,,,,,,
4.191738,,,,,63336,163,,,,,,,,,,,,,,,,
4.196278,,,63336,358,,,,,,,,,,,,,,,,,,
4.198236,,,,,,,,,63336,276,,,,,,,,,,,,
4.199236,,,,,,,63336,376,,,,,,,,,,,,,,
4.287609,,,63384,353,,,,,,,,,,,,,,,,,,
4.288836,,,,,,,,,63384,259,,,,,,,,,,,,
4.290060,,,,,,,63384,375,,,,,,,,,,,,,,
4.291281,63384,496,,,,,,,,,,,,,,,,,,,,
4.292390,,,,,63384,166,,,,,,,,,,,,,,,,
4.383618,63432,481,,,,,,,,,,,,,,,,,,,,
4.383729,,,,,63432,163,,,,,,,,,,,,,,,,
4.386159,,,,,,,,,,,906,56,0,0,0,560,-3,37,638682351700000000,-1,1,179000
4.388596,,,63432,351,,,,,,,,,,,,,,,,,,
4.389814,,,,,,,,,63432,253,,,,,,,,,,,,
4.391035,,,,,,,63432,388,,,,,,,,,,,,,,
4.418140,,,,,,,,,,,951,59,0,0,0,560,-3,37,638682351700000000,-1,1,179000
4.458122,,,,,,,,,,,1007,62,0,0,0,560,-3,37,638682351700000000,-1,1,179000
4.479639,,,63480,342,,,,,,,,,,,,,,,,,,
4.481498,,,,,,,,,63480,263,,,,,,,,,,,,
4.482555,,,,,,,63480,389,,,,,,,,,,,,,,
4.483776,63480,447,,,,,,,,,,,,,,,,,,,,
4.484949,,,,,63480,167,,,,,,,,,,,,,,,,
4.575646,63528,462,,,,,,,,,,,,,,,,,,,,
4.577041,,,,,63528,169,,,,,,,,,,,,,,,,
4.580837,,,63528,339,,,,,,,,,,,,,,,,,,
4.582203,,,,,,,,,63528,257,,,,,,,,,,,,
4.584181,,,,,,,63528,396,,,,,,,,,,,,,,
4.619153,,,,,,,,,,,1057,63,0,0,0,560,-3,37,638682351700000000,-1,1,179000
4.661127,,,,,,,,,,,1103,65,0,0,0,560,-3,37,638682351700000000,-1,1,179000
4.671976,,,63576,336,,,,,,,,,,,,,,,,,,
4.673203,,,,,,,,,63576,252,,,,,,,,,,,,
4.674426,,,,,,,63576,425,,,,,,,,,,,,,,
4.676391,63576,506,,,,,,,,,,,,,,,,,,,,
4.678244,,,,,63576,172,,,,,,,,,,,,,,,,
4.767601,63624,456,,,,,,,,,,,,,,,,,,,,
4.768476,,,,,,,63624,400,,,,,,,,,,,,,,
4.768905,,,,,63624,178,,,,,,,,,,,,,,,,
4.773264,,,63624,337,,,,,,,,,,,,,,,,,,
4.774487,,,,,,,,,63624,250,,,,,,,,,,,,
4.864448,,,63672,333,,,,,,,,,,,,,,,,,,
4.865675,,,,,,,,,63672,247,,,,,,,,,,,,
