118.2,214,204
118.4,214,207
118.6,207,224
118.8,207,227
119,203,238
119.2,208,237
119.4,212,236
119.6,212,236
119.8,217,234
120,223,233
120.2,223,233
120.4,223,233
120.6,223,234
120.8,221,234
121,220,234
121.2,220,234
121.4,218,233
121.6,217,232
121.8,217,232
122,216,233
122.2,216,233
122.4,216,233
122.6,221,235
122.8,226,236
123,227,235
123.2,226,234
123.4,224,233
123.6,221,228
123.8,216,223
124,216,216
124.2,210,217
124.4,210,217
124.6,210,217
124.8,210,217
125,210,217
125.2,249,248
125.4,271,250
125.6,277,248
125.8,283,249
126,284,251
126.2,285,256
126.4,285,270
126.6,276,278
126.8,198,308
127,122,344
127.2,103,358
127.4,109,371
127.6,194,380
127.8,301,381
128,311,385
128.2,318,386
128.4,324,387
128.6,324,387
